School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Liberty North,35.09,34.41,69.5,1,1,1
Rockhurst,26.46,34.15,60.61,12,2,2
Lee's Summit North,28.55,29.24,57.79,6,3,3
De Smet Jesuit,26.62,27.93,54.55,10,5,4
Cardinal Ritter,34.83,18.93,53.77,2,23,5
Jackson,31.32,18.88,50.19,3,24,6
Nixa,26.78,23.31,50.1,8,12,7
Lee's Summit West,23.94,25.8,49.74,18,6,8
Christian Brothers College,26.58,21.58,48.16,11,14,9
Seneca,26.77,21.34,48.11,9,15,10
Helias Catholic,18.59,28.58,47.17,36,4,11
Webb City,21.89,24.89,46.78,24,8,12
Blair Oaks,29.42,16.41,45.83,4,37,13
Lebanon,25.71,19.04,44.74,15,21,14
Kearney,20.12,23.42,43.54,29,11,15
Lutheran North,26.35,16.53,42.89,13,35,16
Liberty,17.62,25.23,42.85,39,7,17
Republic,20.5,21.15,41.65,27,17,18
Rock Bridge,21.2,20.14,41.34,26,18,19
Francis Howell,25.91,15.05,40.96,14,42,20
Lamar,17.44,23.49,40.94,41,9,21
Park Hill South,16.43,23.43,39.86,45,10,22
Oak Park,23.08,15.86,38.94,22,39,23
St. Pius X (Kansas City),23.91,14.83,38.75,19,46,24
Grain Valley,24.87,13.8,38.67,16,52,25
Joplin,23.62,14.98,38.6,20,43,26
Valle Catholic,21.66,16.85,38.51,25,33,27
Nevada,18.7,17.17,35.87,35,32,28
Blue Springs,17.37,18.15,35.52,42,28,29
SLUH,19.67,15.71,35.38,31,40,30
Hillsboro,23.55,10.87,34.42,21,71,31
Hannibal,29.35,4.82,34.17,5,105,32
Rockwood Summit,22.0,11.96,33.96,23,63,33
Maryville,16.19,17.6,33.79,46,31,34
Kickapoo,15.63,18.06,33.69,48,29,35
Lee's Summit,15.1,18.55,33.66,52,26,36
Park Hill,17.6,15.89,33.49,40,38,37
Staley,10.63,22.58,33.21,72,13,38
Fort Osage,20.01,12.58,32.59,30,61,39
Blue Springs South,18.45,14.02,32.47,37,50,40
Bowling Green,27.91,4.45,32.36,7,109,41
Raymore-Peculiar,11.19,21.15,32.34,69,16,42
Central (Park Hills),24.38,7.85,32.23,17,87,43
Troy Buchanan,13.15,19.0,32.15,61,22,44
Platte County,14.16,17.89,32.05,55,30,45
Kirkwood,13.41,18.36,31.77,60,27,46
Smithville,16.58,14.64,31.22,44,48,47
Seckman,11.62,19.21,30.83,66,20,48
Marquette,10.68,20.09,30.77,71,19,49
Eureka,11.77,18.78,30.56,65,25,50
Jefferson City,18.25,11.12,29.37,38,69,51
Camdenton,17.14,11.98,29.12,43,62,52
Carthage,15.16,13.7,28.86,51,53,53
Festus,11.57,16.49,28.06,67,36,54
South Shelby,20.49,7.36,27.85,28,91,55
Holt,15.08,12.6,27.69,53,60,56
Lafayette (Wildwood),15.23,11.6,26.84,50,65,57
Mt. Vernon,15.47,10.54,26.01,49,73,58
Pleasant Hill,13.81,11.61,25.42,59,64,59
Branson,9.97,14.69,24.66,75,47,60
Parkway North,9.3,14.88,24.18,77,45,61
Fair Grove,14.59,9.38,23.97,54,78,62
Willard,8.77,15.09,23.86,83,41,63
Savannah,8.48,14.12,22.6,85,49,64
Central (Cape Girardeau),13.85,8.23,22.08,58,82,65
Ava,18.74,2.89,21.62,34,118,66
Capital City,14.05,7.17,21.23,57,94,67
McDonald County,7.64,13.4,21.03,87,54,68
Portageville,14.13,6.89,21.02,56,96,69
Ft. Zumwalt North,3.26,16.55,19.81,115,34,70
Hazelwood Central,5.84,13.88,19.72,97,51,71
St. Francis Borgia,11.28,7.98,19.26,68,86,72
Lindbergh,6.9,11.29,18.19,93,67,73
Odessa,10.92,7.03,17.95,70,95,74
East Buchanan,6.75,10.84,17.59,94,72,75
Oak Grove,19.57,-2.26,17.31,32,160,76
Bolivar,12.19,5.07,17.25,64,103,77
Ritenour,9.16,8.04,17.21,79,84,78
West Plains,12.46,4.63,17.1,62,106,79
Southern Boone,19.03,-1.96,17.07,33,156,80
Warrenton,7.61,9.4,17.01,88,77,81
MICDS,7.82,9.09,16.91,86,79,82
St. Dominic,8.49,8.1,16.59,84,83,83
Ft. Zumwalt West,1.95,13.16,15.11,120,58,84
