School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Portageville,14.13,6.89,21.02,1,2,1
Marionville,1.44,13.18,14.62,2,1,2
St. Vincent,1.0,2.02,3.01,3,3,3
North Platte,-0.44,-0.79,-1.22,4,5,4
Tipton,-2.81,-1.94,-4.75,5,8,5
Milan,-3.64,-3.89,-7.53,6,10,6
Penney,-11.02,0.07,-10.95,9,4,7
Thayer,-8.76,-3.49,-12.25,8,9,8
Cabool,-11.29,-1.14,-12.43,10,6,9
Crystal City,-17.79,-1.28,-19.07,19,7,10
Marceline,-11.87,-8.3,-20.17,12,14,11
Westran,-12.41,-8.01,-20.42,14,13,12
Windsor,-14.39,-8.0,-22.39,16,12,13
Crest Ridge with Chilhowee,-11.77,-13.68,-25.45,11,18,14
Harrisburg,-8.27,-18.32,-26.6,7,21,15
Midway,-15.5,-12.69,-28.2,17,16,16
Louisiana,-12.54,-16.26,-28.8,15,19,17
Polo,-22.7,-6.17,-28.87,28,11,18
Ash Grove,-18.21,-12.79,-31.0,21,17,19
Putnam County,-19.82,-12.68,-32.5,25,15,20
Chaffee,-18.92,-17.26,-36.18,23,20,21
West Platte,-12.32,-26.91,-39.23,13,29,22
Charleston,-21.01,-20.11,-41.12,27,23,23
Skyline,-19.78,-22.18,-41.96,24,26,24
Salisbury,-18.36,-24.41,-42.78,22,27,25
Lincoln,-18.2,-26.37,-44.58,20,28,26
Pierce City,-26.77,-18.37,-45.14,31,22,27
Scotland County,-24.12,-21.03,-45.16,29,24,28
Miller,-24.19,-22.16,-46.35,30,25,29
Wellington-Napoleon,-17.25,-29.54,-46.79,18,32,30
Gallatin with Tri-County,-20.63,-28.08,-48.7,26,31,31
Fayette,-28.45,-27.39,-55.84,33,30,32
Hayti,-28.1,-29.61,-57.7,32,33,33
