Date,Home Team,Home Score,Away Team,Away Score
2023-08-25,Windsor,8,Adrian,35
2023-08-25,Diamond,14,Ash Grove,29
2023-08-25,Buffalo,6,Ava,56
2023-08-25,Northeast (Kansas City),0,Benton,44
2023-08-25,Staley,20,Blue Springs,30
2023-08-25,West Plains,38,Bolivar,42
2023-08-25,Joplin,35,Branson,14
2023-08-25,Clinton,20,Butler,40
2023-08-25,Harrisburg,12,Cabool,20
2023-08-25,Rolla,21,Camdenton,42
2023-08-25,Ozark,42,Carl Junction,22
2023-08-25,Malden,6,Caruthersville,60
2023-08-25,Lafayette (St. Joseph),7,Center,20
2023-08-25,St. Charles,33,Central (Cape Girardeau),35
2023-08-25,Mexico,0,Centralia,27
2023-08-25,St. Pius X (Festus),23,Clayton with Brentwood,10
2023-08-25,Tipton,52,Crest Ridge with Chilhowee,7
2023-08-25,Chaffee,7,Crystal City,38
2023-08-25,Owensville,45,Cuba,6
2023-08-25,Scott City,14,Dexter,26
2023-08-25,Lift for Life Academy Charter,58,Duchesne,0
2023-08-25,Logan-Rogersville,28,East Newton,0
2023-08-25,Charleston,24,East Prairie,28
2023-08-25,Belton,42,Excelsior Springs,20
2023-08-25,North County,14,Farmington,28
2023-08-25,Salisbury,0,Father Tolton with Calvary Lutheran,54
2023-08-25,Carrollton,18,Fayette,22
2023-08-25,Ste. Genevieve,7,Festus,38
2023-08-25,El Dorado Springs,12,Forsyth,41
2023-08-25,Ft. Zumwalt North,17,Francis Howell,21
2023-08-25,Ft. Zumwalt East,13,Francis Howell Central,45
2023-08-25,Warrenton,22,Ft. Zumwalt South,16
2023-08-25,Eureka,35,Ft. Zumwalt West,0
2023-08-25,Eldon,60,Fulton,13
2023-08-25,North Platte,22,Gallatin with Tri-County,6
2023-08-25,Waynesville,30,Glendale,46
2023-08-25,Fort Osage,42,Grain Valley,46
2023-08-25,Skyline,14,Grandview (Hillsboro),34
2023-08-25,Hannibal,13,Helias Catholic,49
2023-08-25,Montgomery County,27,Hermann,21
2023-08-25,Kickapoo,63,Hillcrest,0
2023-08-25,Sikeston,14,Hillsboro,63
2023-08-25,Sherwood,14,Holden,55
2023-08-25,Orchard Farm,25,Houston,22
2023-08-25,Fredericktown,6,Jefferson (Festus),28
2023-08-25,Osage,3,Jefferson City,40
2023-08-25,Platte County,21,Kearney,18
2023-08-25,Doniphan,6,Kelly,35
2023-08-25,Hayti,20,Kennett,49
2023-08-25,Macon,26,Kirksville,42
2023-08-25,De Smet Jesuit,44,Kirkwood,21
2023-08-25,Westminster Christian Academy,13,Ladue Horton Watkins,17
2023-08-25,Marquette,13,Lafayette (Wildwood),10
2023-08-25,Marshfield,14,Lamar,68
2023-08-25,Parkview,0,Lebanon,56
2023-08-25,Blue Springs South,20,Lee's Summit,30
2023-08-25,Liberty North,20,Lee's Summit North,27
2023-08-25,Lathrop,24,Lexington,8
2023-08-25,Lee's Summit West,17,Liberty,10
2023-08-25,Lone Jack with Kingsville,7,Lincoln,58
2023-08-25,Chaminade College Prep,7,Lindbergh,34
2023-08-25,Bowling Green,54,Louisiana,18
2023-08-25,Warsaw,36,Marceline,8
2023-08-25,Stockton,7,Marionville,12
2023-08-25,Monroe City,32,Mark Twain,16
2023-08-25,Chillicothe,13,Marshall,19
2023-08-25,Blair Oaks,41,Maryville,14
2023-08-25,Mt. Vernon,23,McDonald County,13
2023-08-25,Fox,42,Mehlville,7
2023-08-25,Midway,13,Mid-Buchanan,50
2023-08-25,Hogan Prep Academy Charter,12,Miller,14
2023-08-25,Smith-Cotton,7,Moberly,28
2023-08-25,Reeds Spring,33,Monett,28
2023-08-25,Springfield Catholic,0,Nevada,56
2023-08-25,Webb City,7,Nixa,14
2023-08-25,Westran,22,North Callaway,6
2023-08-25,Hickman,26,North Kansas City,28
2023-08-25,Sullivan,49,Northwest (Cedar Hill),3
2023-08-25,Lawson,7,Oak Grove,47
2023-08-25,Perryville,0,Oakville,55
2023-08-25,Southern Boone,46,Odessa,56
2023-08-25,Hallsville,46,Palmyra,6
2023-08-25,Vianney,21,Parkway West,14
2023-08-25,Ritenour,20,Pattonville,26
2023-08-25,St. Pius X (Kansas City),54,Pembroke Hill,6
2023-08-25,Lafayette County,34,Penney,0
2023-08-25,Boonville,6,Pleasant Hill,45
2023-08-25,West Platte,0,Polo,29
2023-08-25,Central (Park Hills),34,Poplar Bluff,13
2023-08-25,Highland,32,Putnam County,26
2023-08-25,Smithville,37,Raytown,0
2023-08-25,Carthage,14,Republic,20
2023-08-25,Raymore-Peculiar,0,Rockhurst,31
2023-08-25,Webster Groves,14,Rockwood Summit,56
2023-08-25,Central (St. Joseph),39,Ruskin,13
2023-08-25,St. James,44,Salem,0
2023-08-25,Portageville,34,Savannah,35
2023-08-25,Clark County,38,Scotland County,0
2023-08-25,Valle Catholic,21,Seckman,34
2023-08-25,Aurora,0,Seneca,37
2023-08-25,East Buchanan,44,South Harrison,8
2023-08-25,Milan,6,South Shelby,47
2023-08-25,St. Dominic,31,St. Charles West,6
2023-08-25,Potosi,6,St. Clair,48
2023-08-25,Pacific,20,St. Francis Borgia,21
2023-08-25,SLUH,38,St. Mary's South Side,21
2023-08-25,Liberty (Mountain View),6,Strafford,24
2023-08-25,St. Michael the Archangel,45,Summit Christian Academy,19
2023-08-25,St. Vincent,18,Thayer,21
2023-08-25,Liberty (Wentzville),37,Timberland,19
2023-08-25,Brookfield,18,Trenton,36
2023-08-25,Raytown South,28,Truman,19
2023-08-25,South Callaway,21,Van-Far with Community,14
2023-08-25,Knob Noster,24,Versailles,26
2023-08-25,Capital City,41,Warrensburg,29
2023-08-25,Union,14,Washington,21
2023-08-25,Cole Camp,16,Wellington-Napoleon,14
2023-08-25,Neosho,21,Willard,28
2023-08-25,California,56,Willow Springs,0
2023-08-25,Herculaneum,6,Windsor (Imperial),7
2023-08-25,Oak Park,55,Winnetonka,21
2023-08-25,Winfield,14,Wright City,49
2023-08-26,Lutheran South,48,Affton,26
2023-08-26,Hollister,6,Cassville,44
2023-08-26,Richmond,38,Central (New Madrid County),50
2023-08-26,St. Pius X (Festus),23,Clayton with Brentwood,10
2023-08-26,Central (Springfield),34,Clever,6
2023-08-26,Mountain Grove,0,Fair Grove,38
2023-08-26,North Point,21,Francis Howell North,7
2023-08-26,Lutheran North,54,Hazelwood Central,0
2023-08-26,Cardinal Ritter,52,McCluer,6
2023-08-26,Harrisonville,10,MICDS,15
2023-08-26,Hazelwood East,6,Parkway North,7
2023-08-26,Parkway Central,49,Parkway South,28
2023-08-26,Holt,21,Troy Buchanan,35
2023-08-27,Priory,7,Hazelwood West,48
2023-08-31,Chaffee,14,Charleston,12
2023-08-31,Sarcoxie,40,Clever,6
2023-08-31,Raytown,34,Excelsior Springs,12
2023-08-31,Willard,14,Joplin,28
2023-08-31,Monett,7,Mt. Vernon,42
2023-08-31,Republic,41,Ozark,14
2023-08-31,Webster Groves,35,Ritenour,50
2023-08-31,DeSoto with Kingston,0,Sullivan,57
2023-08-31,KIPP KC Legacy,20,University Academy Charter,48
2023-08-31,Washington,18,Warrenton,21
2023-09-01,Ste. Genevieve,70,Affton,12
2023-09-01,Cassville,22,Aurora,19
2023-09-01,Strafford,7,Ava,38
2023-09-01,Grandview (Hillsboro),45,Bayless,8
2023-09-01,Winnetonka,17,Belton,28
2023-09-01,Lutheran North,38,Blair Oaks,30
2023-09-01,Rockhurst,47,Blue Springs South,10
2023-09-01,Rolla,0,Bolivar,35
2023-09-01,Marshall,20,Boonville,42
2023-09-01,Marceline,0,Brookfield,14
2023-09-01,Fulton,3,California,31
2023-09-01,Kickapoo,38,Camdenton,21
2023-09-01,Branson,28,Carthage,14
2023-09-01,Hillsboro,35,Central (Cape Girardeau),28
2023-09-01,Caruthersville,26,Central (Park Hills),63
2023-09-01,Fair Grove,54,Central (Springfield),10
2023-09-01,Benton,6,Central (St. Joseph),54
2023-09-01,Hallsville,36,Centralia,65
2023-09-01,MICDS,24,Chaminade College Prep,7
2023-09-01,Kirksville,26,Chillicothe,42
2023-09-01,Harrisburg,6,Clark County,35
2023-09-01,Windsor,22,Cole Camp,20
2023-09-01,Jefferson (Festus),42,Cuba,0
2023-09-01,Pierce City,14,Diamond,51
2023-09-01,Kennett,42,Doniphan,0
2023-09-01,Savannah,0,East Buchanan,14
2023-09-01,Central (New Madrid County),58,East Prairie,32
2023-09-01,Mountain Grove,28,El Dorado Springs,8
2023-09-01,Owensville,35,Eldon,31
2023-09-01,Hazelwood West,0,Eureka,52
2023-09-01,Buffalo,20,Forsyth,42
2023-09-01,Lafayette (Wildwood),56,Fox,25
2023-09-01,Ft. Zumwalt South,44,Ft. Zumwalt East,15
2023-09-01,Maryville,50,Harrisonville,12
2023-09-01,Portageville,62,Hayti,6
2023-09-01,Hickman,12,Helias Catholic,42
2023-09-01,Fredericktown,0,Herculaneum,14
2023-09-01,Scotland County,6,Highland,14
2023-09-01,Mid-Buchanan,14,Holden,27
2023-09-01,East Newton,20,Hollister,18
2023-09-01,Liberty (Wentzville),6,Holt,49
2023-09-01,Fayette,6,Houston,55
2023-09-01,Francis Howell,35,Jackson,42
2023-09-01,Fort Osage,14,Kearney,21
2023-09-01,Malden,14,Kelly,50
2023-09-01,Salem,0,Knob Noster,46
2023-09-01,Lindbergh,7,Ladue Horton Watkins,17
2023-09-01,Pleasant Hill,60,Lafayette (St. Joseph),14
2023-09-01,Trenton,27,Lathrop,12
2023-09-01,Lafayette County,69,Lawson,7
2023-09-01,Hillcrest,7,Lebanon,56
2023-09-01,Blue Springs,13,Lee's Summit West,28
2023-09-01,Polo,22,Lexington,18
2023-09-01,Adrian,46,Liberty (Mountain View),28
2023-09-01,Liberty,7,Liberty North,31
2023-09-01,Lamar,34,Logan-Rogersville,14
2023-09-01,Midway,36,Lone Jack with Kingsville,0
2023-09-01,Crystal City,8,Louisiana,12
2023-09-01,North Callaway,20,Macon,14
2023-09-01,Willow Springs,6,Marionville,70
2023-09-01,McDonald County,34,Marshfield,14
2023-09-01,Parkway North,52,McCluer North,0
2023-09-01,Southern Boone,49,Mexico,14
2023-09-01,Montgomery County,34,Monroe City,44
2023-09-01,Nixa,46,Neosho,17
2023-09-01,St. Clair,19,North County,7
2023-09-01,Ft. Zumwalt North,28,North Point,0
2023-09-01,Van Horn,57,Northeast (Kansas City),12
2023-09-01,Parkway South,14,Northwest (Cedar Hill),7
2023-09-01,Ruskin,0,Oak Park,44
2023-09-01,Mehlville,9,Oakville,19
2023-09-01,Clinton,0,Odessa,40
2023-09-01,Wright City,6,Orchard Farm,13
2023-09-01,Moberly,21,Osage,14
2023-09-01,Francis Howell Central,31,Pacific,28
2023-09-01,Bowling Green,44,Palmyra,8
2023-09-01,Kirkwood,10,Pattonville,7
2023-09-01,Gallatin with Tri-County,0,Penney,28
2023-09-01,Windsor (Imperial),0,Perryville,12
2023-09-01,Smithville,36,Platte County,43
2023-09-01,Farmington,52,Potosi,7
2023-09-01,Father Tolton with Calvary Lutheran,42,Putnam County,0
2023-09-01,Park Hill,14,Raymore-Peculiar,28
2023-09-01,North Kansas City,10,Raytown South,27
2023-09-01,Nevada,46,Reeds Spring,19
2023-09-01,Oak Grove,48,Richmond,26
2023-09-01,Smith-Cotton,0,Rock Bridge,66
2023-09-01,Marquette,21,Rockwood Summit,27
2023-09-01,Carrollton,18,Salisbury,38
2023-09-01,St. Vincent,14,Scott City,16
2023-09-01,Butler,28,Sherwood,6
2023-09-01,Dexter,22,Sikeston,0
2023-09-01,Cabool,52,Skyline,6
2023-09-01,Timberland,7,SLUH,42
2023-09-01,Hermann,28,South Callaway,24
2023-09-01,Seneca,62,Springfield Catholic,0
2023-09-01,Warrensburg,12,St. Charles,6
2023-09-01,Francis Howell North,14,St. Charles West,0
2023-09-01,Priory,6,St. Dominic,43
2023-09-01,Lutheran South,42,St. James,76
2023-09-01,Hazelwood East,14,St. Mary's South Side,6
2023-09-01,St. Michael the Archangel,21,St. Pius X (Kansas City),59
2023-09-01,Lee's Summit,13,Staley,21
2023-09-01,Miller,8,Stockton,54
2023-09-01,Lutheran St. Charles,34,Summit Christian Academy,12
2023-09-01,Lincoln,14,Tipton,60
2023-09-01,William Chrisman,20,Truman,14
2023-09-01,St. Francis Borgia,52,Union,7
2023-09-01,Festus,6,Valle Catholic,20
